ACT	-6.902431	229
▁BA	-6.902857	230
▁VERY	-6.906990	231
▁THEM	-6.911680	232
▁BEEN	-6.916043	233
▁WA	-6.921976	234
ABLE	-6.927398	235
▁SA	-6.928929	236
▁DID	-6.929895	237
▁HIM	-6.932255	238
▁DIS	-6.937471	239
▁WANT	-6.939250	240
▁OTHER	-6.944705	241
IM	-6.947432	242
▁PRE	-6.963848	243
▁LOOK	-6.976292	244
▁GOING	-6.976995	245
▁VI	-6.977337	246
▁WORK	-6.985192	247
▁DR	-6.996453	248
ENCE	-6.996587	249
▁DI	-6.997507	250
FF	-7.004671	251
TA	-7.005987	252
▁REALLY	-7.020014	253
▁RIGHT	-7.021151	254
MO	-7.021950	255
ALLY	-7.031169	256
▁INTO	-7.041628	257
OW	-7.042088	258
▁WAY	-7.042180	259
▁FE	-7.042784	260
▁COULD	-7.064907	261
▁THEN	-7.076316	262
TED	-7.083183	263
▁HERE	-7.086142	264
▁THESE	-7.086978	265
▁OVER	-7.089377	266
▁WELL	-7.091633	267
▁NA	-7.100633	268
▁ANY	-7.101719	269
HE	-7.105676	270
▁COMP	-7.112218	271
▁COM	-7.116237	272
▁TH	-7.128586	273
▁EVEN	-7.136682	274
▁TWO	-7.144401	275
▁JO	-7.151512	276
▁MAKE	-7.151967	277
▁BACK	-7.154191	278
▁WHERE	-7.163723	279
SH	-7.166942	280
▁QU	-7.175229	281
MAN	-7.186553	282
▁YEAR	-7.187734	283
▁TRA	-7.188742	284
▁CHA	-7.190660	285
QU	-7.211597	286
CA	-7.214162	287
▁ALSO	-7.217267	288
CTION	-7.222174	289
ANCE	-7.227873	290
UM	-7.229064	291
PER	-7.233722	292
DI	-7.235572	293
▁HU	-7.238831	294
▁MU	-7.241668	295
FUL	-7.243288	296
▁NEW	-7.247809	297
ARD	-7.252365	298
J	-7.263144	299
ICAL	-7.269825	300
ANT	-7.271612	301
END	-7.273495	302
▁MAR	-7.275743	303
▁NE	-7.280915	304
IF	-7.282015	305
DER	-7.282778	306
ONE	-7.286363	307
▁THOSE	-7.287425	308
PP	-7.288384	309
▁MAN	-7.302484	310
▁GOOD	-7.311670	311
▁TAKE	-7.315822	312
SIDE	-7.327552	313
PO	-7.331828	314
HA	-7.341651	315
▁LITTLE	-7.343965	316
▁APP	-7.350577	317
▁BI	-7.357551	318
UGH	-7.360734	319
▁COME	-7.362757	320
ISH	-7.365530	321
TIC	-7.365842	322
▁PER	-7.368961	323
▁THINGS	-7.374934	324
▁MUCH	-7.378465	325
▁FIRST	-7.379275	326
